,frequency
to keep their,1
to keep the western,1
to keep gal there,1
to keep chasing france,1
to it that,1
to keep chasing,1
to just feed england,1
to just feed,1
to join forces which,1
to join forces,1
to join back with,1
to join back,1
to join,1
to italy that was,1
to italy that,1
to italy but think,1
to italy but that,1
to italy but,1
to italy because dont,1
to italy because,1
to italy and would,1
to italy and austria,1
to italy and,1
to italy,1
to it yet,1
to it to ridicule,1
to it to,1
to it that the,1
to it that neither,1
to just few,1
to just few supply,1
to just give,1
to keep,1
to keep bohemia and,1
to keep bohemia,1
to keep attacking you,1
to keep attacking,1
to keep as far,1
to keep as,1
to keep an eye,1
to keep an,1
to keep all three,1
to keep all,1
to just take over,1
to just hand,1
to just take,1
to just stay there,1
to just stay on,1
to just stay,1
to just slow me,1
to just let russia,1
to just let,1
to just hunker down,1
to just hunker,1
to just hand over,1
to hide it,1
to her last turn,1
to not draw,1
to have belgium,1
to have been against,1
to have been,1
to have austria thinking,1
to have austria,1
to have any fewer,1
to have any,1
to have an alliance,1
to have an,1
to have,1
to hash out long,1
to hash out,1
to hash,1
to harass the english,1
to harass the,1
to happen and will,1
to happen and to,1
to happen and,1
to happen,1
to hang back,1
to hang,1
to handle things in,1
to handle things,1
to handle the attack,1
to have been ignoring,1
to have belgium to,1
to her last,1
to have bla,1
to have to commit,1
to have to anticipate,1
to have to,1
to have this resolved,1
to have this,1
to have the best,1
to have the,1
to have some insurance,1
to have some,1
to have sniffed out,1
to have sniffed,1
to have russian problems,1
to have russian,1
to have rumania and,1
to have rumania,1
to have peace,1
to have lost his,1
to have lost,1
to have leaked into,1
to have leaked,1
to have it,1
to have him do,1
to have him,1
to handle the,1
to handle england,1
to handle,1
to halt in southern,1
to google anything by,1
to google anything,1
to google,1
to good agreement with,1
to good agreement,1
to good,1
to going against france,1
to going against,1
to going,1
to go with the,1
to go with spain,1
to go with france,1
to go with,1
to go under this,1
to go under,1
to go to sil,1
to go to albania,1
to go to aegean,1
to go there,1
to go the way,1
to go the,1
to go so far,1
to go so,1
to grab,1
to grab couple,1
to grab couple german,1
to grow but you,1
to halt in,1
to halt,1
to guess true or,1
to guess true,1
to guess correctly there,1
to guess correctly,1
to guess,1
to guarantee dont lose,1
to guarantee dont,1
to guarantee,1
to grow but,1
to great,1
to grow and you,1
to grow and to,1
to grow and,1
to grow,1
to greece its guaranteed,1
to greece its,1
to greece and could,1
to greece and,1
to greece,1
to great starts,1
to have to disband,1
to have to move,1
to have to retreat,1
to help coordinate,1
to help stamp out,1
to help stamp,1
to help out silly,1
to help out russia,1
to help out,1
to help me take,1
to help me push,1
to help me out,1
to help me into,1
to help me against,1
to help me,1
to help make sure,1
to help make,1
to help keep you,1
to help keep,1
to help in the,1
to help if the,1
to help if,1
to help him out,1
to help him,1
to help go after,1
to help go,1
to help enforce our,1
to help that,1
to help that said,1
to help them,1
to help you but,1
to her,1
to helping with their,1
to helping with,1
to helping,1
to help you with,1
to help you out,1
to help you next,1
to help you move,1
to help you in,1
to help you hold,1
to help you as,1
to help them out,1
to help you and,1
to help you against,1
to help you,1
to help with them,1
to help with the,1
to help with england,1
to help with bulgaria,1
to help with,1
to help us out,1
to help us,1
to help enforce,1
to help but think,1
to have trouble,1
to help but,1
to hear from,1
to hear back from,1
to hear back,1
to hear and is,1
to hear and,1
to hear about your,1
to hear about the,1
to hear about,1
to hear,1
to headgames is impressive,1
to headgames is,1
to headgames,1
to head south and,1
to head south,1
to head out for,1
to head out,1
to head,1
to have you press,1
to have you convoy,1
to have you,1
to have written me,1
to have written,1
to have trouble growing,1
to hear from austria,1
to hear how,1
to hear how things,1
to hear yours as,1
to help answer that,1
to help answer,1
to help,1
to heligoland while munich,1
to heligoland while,1
to heligoland,1
to helgoland norwegian sea,1
to helgoland norwegian,1
to helgoland,1
to hel,1
to hear yours,1
to hear it,1
to hear your thoughts,1
to hear your response,1
to hear your,1
to hear which they,1
to hear which,1
to hear what really,1
to hear what,1
to hear that you,1
to hear that though,1
to hear that,1
to keep your communications,1
to kiel,1
to kill,1
to move elsewhere,1
to move east,1
to move around while,1
to move around,1
to move army so,1
to move army,1
to move and take,1
to move and,1
to move against me,1
to move against england,1
to move against austria,1
to move against,1
to move,1
to mostly just straight,1
to mostly just,1
to mostly,1
to moscow so it,1
to moscow so,1
to moscow now since,1
to moscow now,1
to moscow,1
to mos to support,1
to mos to,1
to mos,1
to move east now,1
to move elsewhere next,1
to kill but,1
to move eng,1
to move my wes,1
to move my units,1
to move my fleet,1
to move my,1
to move mun you,1
to move mun,1
to move it out,1
to move it,1
to move into tyr,1
to move into those,1
to move into rum,1
to move into it,1
to move into ion,1
to move into good,1
to move into burgundy,1
to move into,1
to move greece to,1
to move greece,1
to move from the,1
to move from,1
to move faster we,1
to move faster,1
to move eng iri,1
to message me response,1
to message me,1
to message,1
to mention it good,1
to me since pointed,1
to me since,1
to me right now,1
to me right,1
to me much anymore,1
to me much,1
to me ll probably,1
to me ll,1
to me like youre,1
to me like between,1
to me like,1
to me is consistent,1
to me is,1
to me if they,1
to me if,1
to me hopefully he,1
to me hopefully,1
to me hinted that,1
to me hinted,1
to me given that,1
to me given,1
to me for england,1
to me for,1
to me so,1
to me staying,1
to me staying with,1
to me til monday,1
to mention it,1
to mention,1
to meet you,1
to meet,1
to me you will,1
to me you,1
to me well this,1
to me well,1
to me to support,1
to me to,1
to me til,1
to me that,1
to me though honestly,1
to me though,1
to me these moves,1
to me these,1
to me thats certainly,1
to me thats,1
to me that you,1
to me that war,1
to me that this,1
to me that they,1
to move on,1
to move on again,1
to move on austria,1
to my invasion,1
to net,1
to negotiate safe passage,1
to negotiate safe,1
to negotiate open could,1
to negotiate open,1
to negotiate,1
to need nap adr,1
to need nap,1
to need,1
to nail down plan,1
to nail down,1
to nail,1
to nab two english,1
to nab two,1
to nab,1
to myself didn know,1
to myself didn,1
to myself,1
to my word,1
to my undefended home,1
to my undefended,1
to my order suggestion,1
to my order,1
to net him,1
to net him two,1
to nmr,1
to north sea,1
to not do anything,1
to not do,1
to not attack you,1
to not attack,1
to not antagonize him,1
to not antagonize,1
to not,1
to norwegian if the,1
to norwegian,1
to north sea and,1
to north atlantic on,1
to nmr and,1
to north atlantic,1
to north,1
to non aggression pact,1
to non aggression,1
to non,1
to no phone access,1
to no phone,1
to no avail,1
to no,1
to nmr and believe,1
to my invasion that,1
to my estimation things,1
to move one,1
to my estimation,1
to move ven pie,1
to move ven,1
to move up to,1
to move up,1
to move towards more,1
to move towards,1
to move to tyrolia,1
to move to denmark,1
to move to con,1
to move to burgundy,1
to move to albania,1
to move to,1
to move their fleet,1
to move their,1
to move that army,1
to move that,1
to move so that,1
to move so,1
to move smy aeg,1
to move smy,1
to move pic to,1
to move pic,1
to move one army,1
to mow,1
to mow over,1
to mow over the,1
to munich or,1
to my east for,1
to my east,1
to my ears in,1
to my ears,1
to my attack on,1
to my attack,1
to my advantage to,1
to my advantage,1
to my,1
to munich or belgium,1
to munich if bounced,1
to mun,1
to munich if,1
to munich for push,1
to munich for,1
to munich but let,1
to munich but,1
to munich,1
to mun this round,1
to mun this,1
to mun in case,1
to mun in,1
to me but ill,1
to me but,1
to me briefly and,1
to let him in,1
to lon ec,1
to lon,1
to lol,1
to location,1
to livonia anyway,1
to livonia,1
to listen to me,1
to listen to,1
to listen,1
to lie to you,1
to lie to,1
to lie,1
to let you move,1
to let you have,1
to let you,1
to let turkey into,1
to let turkey,1
to let them have,1
to let them,1
to let me position,1
to let me into,1
to let me and,1
to let me,1
to london,1
to london and,1
to london and edi,1
to lose more units,1
to maintain our,1
to maintain,1
to lure germany in,1
to lure germany,1
to lure,1
to losses from russia,1
to losses from,1
to losing,1
to lose that fleet,1
to lose that,1
to lose more,1
to london no need,1
to lose ground anywhere,1
to lose ground,1
to lose either,1
to lose,1
to look to my,1
to look gift horse,1
to look gift,1
to look back and,1
to look back,1
to look at it,1
to let him solo,1
to let him,1
to make an,1
to let,1
to know which of,1
to know which,1
to know what you,1
to know what,1
to know that youre,1
to know that will,1
to know that,1
to know more than,1
to know just know,1
to know just,1
to know if they,1
to know about the,1
to know about it,1
to know about,1
to know,1
to knock them out,1
to knock them,1
to knock austria out,1
to knock austria,1
to knock,1
to kill me so,1
to kill me,1
to kill but germany,1
to land in,1
to land in scandinavia,1
to last,1
to leave him,1
to leave parts of,1
to leave parts,1
to leave my backdoor,1
to leave my army,1
to leave my,1
to leave marseille italian,1
to leave marseille,1
to leave it and,1
to leave it,1
to leave him alone,1
to leave,1
to last beyond its,1
to learn so much,1
to learn so,1
to learn how you,1
to learn how,1
to learn,1
to launch an army,1
to launch an,1
to launch,1
to last long time,1
to last long,1
to make,1
to make an enemy,1
to me briefly,1
to manageable size think,1
to materialize in,1
to materialize,1
to marseilles im basically,1
to marseilles im,1
to marseilles,1
to mark that as,1
to mark that,1
to mark,1
to march to munich,1
to march,1
to mar,1
to mao and work,1
to mao and france,1
to mao and,1
to mao,1
to many games where,1
to many games,1
to many,1
to manipulate him which,1
to manipulate him,1
to manipulate,1
to maneuver themselves into,1
to maneuver themselves,1
to maul,1
to maximize,1
to maximize your,1
to me all,1
to me anymore and,1
to me anymore,1
to me and told,1
to me and makes,1
to me and fucked,1
to me and forwarding,1
to me and everything,1
to me and because,1
to me and,1
to me all the,1
to me again and,1
to maximize your result,1
to me again,1
to me about vienna,1
to me about the,1
to me about strategy,1
to me about russia,1
to me about italy,1
to me about,1
to me,1
to may ask,1
to may,1
to maneuver,1
to manageable size,1
to make any,1
to manageable,1
to make some,1
to make rush at,1
to make rush,1
to make progress,1
to make moves,1
to make move to,1
to make move either,1
to make move,1
to make mistake,1
to make it worthwhile,1
to make it obvious,1
to make it harder,1
to make it easier,1
to make it,1
to make him happy,1
to make him,1
to make final decision,1
to make final,1
to make everyone else,1
to make everyone,1
to make deal with,1
to make deal,1
to make any progress,1
to make some headway,1
to make sure,1
to make sure france,1
to make these,1
to manage,1
to making me more,1
to making me,1
to making,1
to make you nervous,1
to make you feel,1
to make you,1
to make us natural,1
to make us,1
to make these mistakes,1
to make the trade,1
to make sure me,1
to make the,1
to make that play,1
to make that move,1
to make that happen,1
to make that agreement,1
to make that,1
to make sure we,1
to make sure understand,1
to make sure they,1
to make sure russia,1
north sea helgoland holland,1
01,1
north sea headed,1
centers while take,1
centers when the time,1
centers when the,1
centers when,1
centers to keep parity,1
centers to keep,1
centers to england instead,1
centers to england and,1
centers to england,1
centers to combat at,1
centers to combat,1
centers to,1
centers this turn,1
centers this,1
centers sometimes leads to,1
centers sometimes leads,1
centers sometimes,1
centers so have all,1
centers so have,1
centers so badly convoy,1
centers so badly,1
centers so,1
centers while,1
centers while take thats,1
centers and in,1
centers you,1
centres to make,1
centres to,1
centres,1
centre north of switzerland,1
centre north of,1
centre north,1
centre in trieste,1
centre in,1
centre,1
central powers could remain,1
central powers could,1
central powers,1
central power but if,1
central power but,1
central power,1
central europe time so,1
central europe time,1
central europe,1
central,1
centers you can have,1
centers you can,1
centers pretty soon,1
centers or can just,1
centers or can,1
centers or,1
centers but don,1
centers but,1
centers because of the,1
centers because of,1
centers because,1
centers around 1904 allowing,1
centers around 1904,1
centers around,1
centers are gone you,1
centers are gone,1
centers are,1
centers and you have,1
centers and you,1
centers and won have,1
centers and won,1
centers and two of,1
centers and two,1
centers and russia is,1
centers and russia,1
centers and now englands,1
centers and now,1
centers but don think,1
centers but he,1
centers but he will,1
centers in exchange for,1
centers on our side,1
centers on our,1
centers on,1
centers last,1
centers is lot to,1
centers is lot,1
centers is,1
centers in the east,1
centers in the,1
centers in exchange,1
centers but know,1
centers in,1
centers hold,1
centers from you,1
centers from turkey balkans,1
centers from turkey,1
centers from that and,1
centers from that,1
centers from,1
centers but know letting,1
centres to make it,1
certain,1
certain begrudging,1
certainly need to deal,1
chance at,1
chance,1
challenging for lot of,1
challenging for lot,1
challenging for,1
challenging,1
chair so long as,1
chair so long,1
chair,1
certainly within,1
certainly want to obscure,1
certainly want to,1
certainly right from rational,1
certainly right from,1
certainly right,1
certainly open to this,1
certainly open to,1
certainly not preparing to,1
certainly not preparing,1
certainly not looking to,1
certainly not looking,1
chance at either,1
chance at either winning,1
chance he,1
chance italy,1
chance some things got,1
chance some things,1
chance some,1
chance of taking the,1
chance of taking,1
chance of getting,1
chance of,1
chance italy would give,1
chance italy would,1
chance is to either,1
chance he actually,1
chance is to,1
chance is done,1
chance is,1
chance if we fall,1
chance if we,1
chance if,1
chance he goes to,1
chance he goes,1
chance he actually going,1
certainly not,1
certainly need to,1
certain begrudging respect,1
certainly need,1
certainly doesn might be,1
certainly doesn might,1
certainly doesn,1
certainly didn appreciate when,1
certainly didn appreciate,1
certainly didn,1
certainly correct that germany,1
certainly correct that,1
certainly correct,1
certainly anti german there,1
certainly anti german,1
certainly aggressive but it,1
certainly aggressive but,1
certainly aggressive,1
certainly,1
certain of him at,1
certain of him,1
certain of,1
certain how far believed,1
certain how far,1
certain begrudging respect for,1
certainly give,1
certainly give you,1
certainly give you heads,1
certainly keep all of,1
certainly means that ll,1
certainly means that,1
certainly means,1
certainly looks like that,1
certainly looks like,1
certainly looks,1
certainly like that build,1
certainly like that,1
certainly like,1
certainly keep all,1
certainly hope,1
certainly keep,1
certainly is shaping up,1
certainly is shaping,1
certainly is,1
certainly if he catches,1
certainly if he,1
certainly if,1
certainly hope so the,1
certainly hope so,1
centers and in much,1
centers and have like,1
chance that you,1
case you decided to,1
case you could ask,1
case you could,1
case you,1
case would ask that,1
case would ask,1
case would,1
case we re back,1
case we re,1
case we,1
case through concern for,1
case through concern,1
case through,1
case they reach out,1
case they reach,1
case they are lying,1
case they are,1
case they,1
case there was funny,1
case there was,1
case there,1
case the austrians get,1
case you decided,1
case you want,1
centers and have,1
case you want to,1
catch up since france,1
catch up since,1
catch up,1
catch austria by surprise,1
catch austria by,1
catch austria,1
catch,1
catbird seat in the,1
catbird seat in,1
catbird seat,1
catastrophe retreat to sil,1
catastrophe retreat to,1
catastrophe retreat,1
catapult it into action,1
catapult it into,1
catapult it,1
catapult,1
cast aspersions but what,1
cast aspersions but,1
cast aspersions,1
cast,1
case the austrians,1
case the,1
case that proves to,1
case that proves,1
case in point,1
case in,1
case hitting tyr is,1
case hitting tyr,1
case hitting,1
case here lol,1
case here,1
case he may just,1
case he may,1
case he,1
case germany thinks about,1
case germany thinks,1
case germany,1
case ber has to,1
case ber has,1
case ber,1
case being the germans,1
case being the,1
case being,1
case at least they,1
case at least,1
case in point my,1
case is,1
case is much greater,1
case italy lied so,1
case that austria might,1
case that austria,1
case that,1
case scenario italy doesn,1
case scenario italy,1
case scenario,1
case need to support,1
case need to,1
case need,1
case italy lied,1
case it,1
case italy is in,1
case italy is,1
case italy,1
case it signals that,1
case it signals,1
case it nothing personal,1
case it nothing,1
case it impacted the,1
case it impacted,1
catch up with,1
catch up with me,1
catches,1
center and,1
center pickup,1
center or two but,1
center or two,1
center or,1
center on fall move,1
center on fall,1
center on,1
center id prefer gal,1
center id prefer,1
center id,1
center front while good,1
center front while,1
center front,1
center from swe they,1
center from,1
center france and its,1
center france and,1
center france,1
center and once we,1
center and once,1
center and france still,1
center pickup at,1
center pickup at that,1
center so,1
center turkey,1
centers and few of,1
centers and few,1
centers and,1
centers,1
center you can get,1
center you can,1
center you,1
center turkey is happy,1
center turkey is,1
center to survive,1
center so they,1
center to build at,1
center to build,1
center to,1
center this year but,1
center this year,1
center this is going,1
center this is,1
center this,1
center so they re,1
center and france,1
center,1
catches any,1
cement being in fight,1
cautious about going,1
cause you had,1
cause you,1
cause we had talked,1
cause we had,1
cause we,1
cause him to back,1
cause him to,1
cause him,1
cause at this point,1
cause at this,1
cause at,1
cause,1
catching wind of it,1
catching wind of,1
catching wind,1
catching the unawares,1
catching the,1
catching,1
catches any wind of,1
catches any wind,1
cautious about going in,1
cautious and,1
cautious and doesn,1
cede,1
cement being in,1
cement being,1
cement,1
cells by sharing it,1
cells by sharing,1
cells by,1
cells,1
cede belgium to,1
cede belgium,1
ceased all support,1
cautious and doesn really,1
ceased all,1
ceased,1
cavalry won have anything,1
cavalry won have,1
cavalry won,1
cavalry,1
cautious expansion to tunis,1
cautious expansion to,1
cautious expansion,1
chance that,1
chance that you ve,1
case am just handing,1
choice whether he,1
choice to move to,1
choice to move,1
choice to do what,1
choice to do,1
choice to,1
choice ll help you,1
choice ll help,1
choice ll,1
choice is due to,1
choice is due,1
choice is,1
choice if that is,1
choice if that,1
choice if,1
choice but to work,1
choice but to hope,1
choice but to accept,1
choice but to,1
choice but,1
choice and you ve,1
choice and you,1
choice whether,1
choice whether he wants,1
check in and touch,1
choose,1
cinq,1
chow down on the,1
chow down on,1
chow down,1
chow,1
chose to go there,1
chose to go,1
chose to do that,1
chose to do,1
chose to,1
chose brest could also,1
chose brest could,1
chose brest,1
chose,1
choosing not to respond,1
choosing not to,1
choosing not,1
choosing,1
choose who to side,1
choose who to,1
choose who,1
choice and,1
choice,1
chips are on us,1
chips are on,1
checking in what,1
checking in to hear,1
checking in to,1
checking in and sending,1
checking in and,1
checking in,1
checking back in before,1
checking back in,1
checking back,1
checking,1
checked it and can,1
checked it and,1
checked it,1
checked,1
check with you,1
check with,1
check those out,1
check those,1
check this before adjudication,1
check this before,1
check this all,1
checking in what up,1
checks,1
checks out,1
chill to me that,1
chips are,1
chips,1
chip left and youre,1
chip left and,1
chip left,1
chip and chair so,1
chip and chair,1
chip and,1
chip,1
chill to me,1
checks out but,1
chill to,1
chill,1
cheers to the russia,1
cheers to the,1
cheers to,1
cheers my queen,1
cheers my,1
cheers,1
checks out but that,1
cinq is,1
cinq is nowhere,1
cinq is nowhere in,1
clear path,1
clearest thing is,1
clearest thing,1
clearest,1
clearer than that,1
clearer than,1
clearer,1
cleared,1
clear to me that,1
clear to me,1
clear to keep chasing,1
clear to keep,1
clear to,1
clear the way for,1
clear the way,1
clear the,1
clear that it needed,1
clear that it,1
clear that,1
clear path to my,1
clear path to,1
clear path support to,1
clearest thing is that,1
clearly,1
clearly be,1
clearly going,1
clearly need,1
clearly know how to,1
clearly know how,1
clearly know,1
clearly kept mum to,1
clearly kept mum,1
clearly kept,1
clearly going after turkey,1
clearly going after,1
clearly dominating and that,1
clearly be labeled,1
clearly dominating and,1
clearly dominating,1
clearly benefit more from,1
clearly benefit more,1
clearly benefit,1
clearly been resolving their,1
clearly been resolving,1
clearly been,1
clearly be labeled wishful,1
clear path support,1
clear it with them,1
circle,1
clear it with,1
clarify that,1
clarify,1
claims going on with,1
claims going on,1
claims going,1
claims,1
claim your fair share,1
claim your fair,1
claim your,1
claim you want to,1
claim you want,1
claim you,1
claim,1
civil if little quiet,1
civil if little,1
civil if,1
civil,1
circling,1
circle back for french,1
circle back for,1
circle back,1
clarify that have,1
clarify that have no,1
classes,1
clear and content with,1
clear it,1
clear im agreeing to,1
clear im agreeing,1
clear im,1
clear as could and,1
clear as could,1
clear as,1
clear and trying to,1
clear and trying,1
clear,1
classes or anything,1
clean and let approach,1
clean and let,1
clean and,1
clean,1
classic tactic,1
classic pretend stab then,1
classic pretend stab,1
classic pretend,1
classes or anything but,1
check this,1
check in and,1
chance to,1
changes make going,1
changes about antagonizing or,1
changes about antagonizing,1
changes about,1
changes,1
changed their mind,1
changed their,1
changed the final position,1
changed the final,1
changed the,1
changed course and supported,1
changed course and,1
changed course,1
changed all my orders,1
changed all my,1
changed all,1
changed,1
change to put in,1
change to put,1
change to,1
change our plan,1
change our,1
changes make,1
changes make going forward,1
check in,1
changes my,1
channel and we,1
channel and to try,1
channel and to,1
channel and north sea,1
channel and north,1
channel and,1
channel,1
changing my settings to,1
changing my settings,1
changing my,1
changing,1
changes things up bit,1
changes things up,1
changes things,1
changes then will certainly,1
changes then will,1
changes then,1
changes their mind about,1
changes their mind,1
changes their,1
changes my thinking about,1
change of plans,1
change of,1
change my orders,1
change my order,1
chance you can use,1
chance you can,1
chance you and england,1
chance you,1
chance with austria,1
chance with,1
chance which is something,1
chance which is,1
chance which,1
chance unless we can,1
chance unless we,1
chance unless,1
chance to negotiate,1
chance to make some,1
chance to make,1
chance to have the,1
chance to have,1
chance to get builds,1
chance to get,1
chance to build another,1
chance to build,1
chance you could,1
chance you could approach,1
chance you try slightly,1
change direction now he,1
change my mind on,1
change my mind,1
change my,1
change is early in,1
change is early,1
change is,1
change his plans before,1
change his mind,1
change his,1
change direction now,1
chances,1
change direction,1
change,1
chances with that though,1
chances to take centre,1
chances to take,1
chances to,1
chances are you will,1
chances are you,1
chances are,1
channel and we had,1
channel as,1
channel as that,1
channels have,1
chat about st petersburg,1
chat about st,1
chat about russian relations,1
chat about russian,1
chat about russia before,1
chat about russia,1
chat about possible alliance,1
chat about possible,1
chat about,1
chat,1
chasing france,1
chasing,1
chaotic russia austria alliance,1
chaotic russia austria,1
chaotic russia,1
chaotic,1
chaos between england and,1
chaos between england,1
chaos between,1
chaos,1
channels have all gone,1
chat at,1
chat at least,1
chat at least briefly,1
chat with others,1
check don you agree,1
check don you,1
check don,1
check and take scandinavia,1
check and take,1
check and,1
check,1
chatty,1
chat with others and,1
chat with,1
chat but,1
chat which can be,1
chat which can,1
chat which,1
chat snafu,1
chat go with austria,1
chat go with,1
chat go,1
chat but damn is,1
chat but damn,1
channels have all,1
channels and minds are,1
channel as that will,1
channels and minds,1
channel is,1
channel in fall,1
channel in,1
channel he went so,1
channel he went,1
channel he,1
channel from north sea,1
channel from north,1
channel from,1
channel for future relations,1
channel for future,1
channel for,1
channel empty for now,1
channel empty for,1
channel empty,1
channel deal yet,1
channel deal,1
channel before,1
channel because it commits,1
channel because it,1
channel because,1
channel is right,1
channel is right there,1
channel or,1
channel to,1
channels and,1
channels,1
channel you should see,1
channel you should,1
channel you,1
channel with the,1
channel with,1
channel to bre is,1
channel to bre,1
channel the attack fails,1
channel or we,1
channel the attack,1
channel the,1
channel so just wanted,1
channel so just,1
channel so,1
channel picardy belgium picardy,1
channel picardy belgium,1
channel picardy,1
channel or we could,1
case at,1
case am just,1
clearly need to improve,1
can leave my,1
can launch counter attack,1
can launch counter,1
can launch,1
can know telling the,1
can know telling,1
can know,1
can kick him out,1
can kick him,1
can kick,1
can keep your boats,1
can keep your,1
can keep talking to,1
can keep talking,1
can keep stirring up,1
can keep stirring,1
can keep spain and,1
can keep spain,1
can keep making those,1
can keep making,1
can keep it friendly,1
can keep it,1
can leave,1
can leave my at,1
can help to push,1
can let,1
can move forward together,1
can move forward,1
can move back up,1
can move back,1
can move,1
can maybe use to,1
can maybe use,1
can maybe,1
can make this work,1
can make this,1
can make sure that,1
can make it convincing,1
can make it,1
can make bounce,1
can make an informed,1
can make an,1
can live with that,1
can live with,1
can live,1
can let that happen,1
can let that,1
can keep,1
can just roll,1
can just ride this,1
can just ride,1
can if you can,1
can if you,1
can if,1
can hold sweden and,1
can hold sweden,1
can hold off you,1
can hold off,1
can hold mar,1
can hold in,1
can hold everything tight,1
can hold everything,1
can hold because ll,1
can hold because,1
can hoist yourself by,1
can hoist yourself,1
can hoist,1
can help you in,1
can help you diplomatically,1
can help you,1
can help with something,1
can help with,1
can if you go,1
can imagine,1
can imagine he,1
can italy take five,1
can just quietly slip,1
can just quietly,1
can just focus on,1
can just focus,1
can just defend,1
can just,1
can jump into sweden,1
can jump into,1
can jump,1
can italy take,1
can imagine he is,1
can italy,1
can indeed trust russia,1
can indeed trust,1
can indeed,1
can imagine why the,1
can imagine why,1
can imagine that,1
can imagine helping turkey,1
can imagine helping,1
can move forward with,1
can move from,1
can move from rom,1
can play,1
can probably get information,1
can probably get,1
can probably,1
can prevent an english,1
can prevent an,1
can pressure vienna,1
can pressure that arm,1
can pressure that,1
can pressure,1
can potentially support you,1
can potentially support,1
can potentially,1
can possibly stop him,1
can possibly stop,1
can possibly help me,1
can possibly help,1
can possibly,1
can plop some fleets,1
can plop some,1
can plop,1
can play more cautious,1
can probably get turkey,1
can probably guess,1
can probably guess just,1
can push further,1
can put them to,1
can put them,1
can put the screws,1
can put the,1
can put fleet in,1
can put fleet,1
can put couple builds,1
can put couple,1
can put,1
can push,1
can probably just,1
can pull the western,1
can pull the,1
can pull france away,1
can pull france,1
can pull,1
can probably take out,1
can probably take,1
can probably keep russia,1
can probably just take,1
can play more,1
can persuade the tsar,1
can move into,1
can persuade the,1
can never,1
can neither afford to,1
can neither afford,1
can neither,1
can negotiate with italy,1
can negotiate with,1
can negotiate in good,1
can negotiate in,1
can negotiate him,1
can negotiate,1
can mutually bounce in,1
can mutually bounce,1
can mutually,1
can move your,1
can move to the,1
can move to,1
can move that fleet,1
can move that,1
can move past gascony,1
can move past,1
can move into the,1
can never bother,1
can never bother england,1
can now,1
can only repeat,1
can persuade him to,1
can persuade him,1
can persuade,1
can perhaps take the,1
can perhaps take,1
can perhaps,1
can only view it,1
can only view,1
can only repeat that,1
can only mean that,1
can now basically,1
can only help,1
can only expand,1
can only,1
can offer him that,1
can offer him,1
can offer,1
can now support that,1
can now support,1
can now basically walk,1
can help too much,1
can help to,1
can quite get,1
can easily muscle your,1
can easily,1
can do with them,1
can do with,1
can do to stop,1
can do to keep,1
can do to help,1
can do to attack,1
can do this if,1
can do this,1
can do the same,1
can do the,1
can do that,1
can do something else,1
can do right now,1
can do right,1
can do much,1
can do is spin,1
can do is build,1
can do is,1
can do germany,1
can do for you,1
can easily muscle,1
can easily take,1
can help support you,1
can easily take swe,1
can figure out,1
can figure,1
can fall back to,1
can fall back,1
can fall,1
can facilitate your,1
can facilitate,1
can explain my reasoning,1
can explain my,1
can explain,1
can expect that fleet,1
can expect that,1
can expect,1
can even rotate on,1
can even rotate,1
can even,1
can either move past,1
can either move,1
can either,1
can effectively guarantee,1
can effectively,1
can do for,1
can do berbal pruber,1
can do berbal,1
can do anything else,1
can cut sil support,1
can cut sil,1
can cut,1
can cover your back,1
can cover your,1
can cover potential stab,1
can cover potential,1
can cover london this,1
can cover london,1
can cover,1
can count on at,1
can count on,1
can count,1
can coordinate together,1
can coordinate for next,1
can coordinate for,1
can convoy that,1
can convoy me into,1
can convoy me,1
can convoy,1
can convince turkey to,1
can dart,1
can dart out,1
can dart out without,1
can disband pru if,1
can do anything,1
can do all this,1
can do all,1
can do about that,1
can do about france,1
can do about,1
can do,1
can dislodge it,1
can dislodge,1
can disband pru,1
can definitely,1
can disband,1
can demilitarize the western,1
can demilitarize the,1
can demilitarize,1
can definitely juggernaut,1
can definitely handle together,1
can definitely handle,1
can definitely agree that,1
can definitely agree,1
can figure out way,1
can find,1
can find the,1
can get the,1
can guarantee hol and,1
can guarantee hol,1
can guarantee,1
can go on water,1
can go on,1
can go nwy stp,1
can go nwy,1
can go from there,1
can go for it,1
can go for,1
can go,1
can give you con,1
can give you,1
can give me an,1
can give me,1
can give,1
can get you smy,1
can get you paris,1
can get you munich,1
can get you,1
can get the jump,1
can guarantee that,1
can guarantee that you,1
can handle,1
can have your,1
can help support,1
can help occupy my,1
can help occupy,1
can help me over,1
can help me,1
can help against germany,1
can help against,1
can help,1
can have your support,1
can have tunisia and,1
can handle your,1
can have tunisia,1
can have guaranteed hold,1
can have guaranteed,1
can have greece if,1
can have greece,1
can have an explosive,1
can have an,1
can have,1
can handle your northern,1
can get the italians,1
can get that build,1
can find the original,1
can get sev tun,1
can gather any,1
can gather,1
can gain supply center,1
can gain from this,1
can gain from,1
can gain,1
can forgo belgium this,1
can forgo belgium,1
can forgo,1
can force sev now,1
can force sev,1
can force belgium,1
can force,1
can focus on this,1
can focus on it,1
can focus on,1
can focus,1
can finish off france,1
can finish off,1
can finish him before,1
can finish,1
can gather any dots,1
can get,1
can get annoyed,1
can get italian support,1
can get sev,1
can get rum in,1
can get rum,1
can get over lagergate,1
can get over,1
can get online again,1
can get online,1
can get italy on,1
can get italy,1
can get italian,1
