,frequency
talk really,1
teaching,1
will have,1
will have an,1
tell if france and,1
tell if france,1
tell if,1
tell england am considering,1
will have an available,1
tell england am,1
will keep,1
will keep you,1
tell england,1
tell,1
teaching side of things,1
teaching side of,1
teaching side,1
talks,1
talking with you at,1
talking with you,1
talking with russia about,1
will make,1
talker,1
talked to me,1
talked to,1
talked enough to agree,1
talked enough to,1
talked enough,1
talked,1
talk tonight,1
talk to him last,1
talk to him,1
talk to france at,1
talk to france,1
talk to,1
talk really quick,1
talker you know,1
talker you know nothing,1
talking,1
talking to france,1
talking with russia,1
talking with,1
talking to me much,1
talking to me about,1
will look out for,1
talking to france about,1
talking to,1
talking about,1
talking and turkey is,1
talking and turkey,1
talking and,1
talking about convincing russia,1
talking about convincing germany,1
talking about convincing,1
the light about,1
the lines,1
to attack austria but,1
think they re,1
think they be,1
think they are still,1
whatever helps you,1
whatever helps you eat,1
think they are,1
think they,1
think there chance italy,1
think there chance,1
think there,1
think then is the,1
whatever move,1
think then is,1
think then,1
think thats horrible idea,1
think thats horrible,1
think they be an,1
think they re just,1
whatever move sets,1
think trying,1
think were,1
think we should work,1
think we should,1
think we need to,1
whatever help from you,1
whatever helps,1
think we need,1
think we could have,1
think we could,1
think we can swing,1
think we can be,1
think we can,1
think we,1
think trying for ukraine,1
think trying for,1
think thats,1
think that reducing the,1
whatever help from,1
think later in the,1
think later,1
think italy is going,1
think italy is,1
think italy,1
think it would probably,1
think it would,1
when,1
when austria,1
think it makes the,1
think it makes,1
think it genuinely good,1
think it genuinely,1
think it be far,1
think it be,1
think it anything catastrophic,1
think later in,1
think munich,1
whatever move sets you,1
think munich is,1
think that reducing,1
whatever the,1
think that moving,1
think that move is,1
think that move,1
whatever the case,1
think that,1
think neither of us,1
whatever the case you,1
think neither of,1
think neither,1
think need to understand,1
think need to,1
think need,1
think munich is safe,1
think were done,1
think you,1
think it,1
this fall and that,1
this fall,1
this evening so hope,1
this evening so,1
this evening,1
this entire game,1
this entire,1
this current turn when,1
this current turn,1
this current,1
this can work long,1
this can work,1
this can,1
this before adjudication,1
this before,1
this agreement,1
this fall and,1
this fall to,1
thinking their friend rather,1
this fall to keep,1
this gets fleet,1
this gets,1
this game up brilliantly,1
this game up,1
this game think,1
this game so that,1
this game so,1
this game over dumb,1
this game over,1
this game but at,1
this game but,1
this game,1
this frees me up,1
this frees me,1
this frees,1
this,1
thinking their friend,1
whatever help,1
thinking about the,1
thinking about negotiating mutual,1
thinking about negotiating,1
thinking about,1
thinking,1
think youre best off,1
whatever he sent me,1
think youre best,1
think youre,1
think youll be successful,1
think youll be,1
think youll,1
think you ve put,1
think you ve,1
think you should suggest,1
think you should do,1
thinking about russia,1
whatever he sent,1
thinking their,1
thinking about the right,1
thinking that am waiting,1
thinking that am,1
thinking that,1
thinking in regards to,1
thinking in regards,1
what your train of,1
thinking im not going,1
whatever,1
thinking im,1
thinking denmark could theoretically,1
whatever he,1
thinking denmark,1
thinking ber sil kie,1
thinking ber sil,1
thinking ber,1
think it anything,1
think ill get it,1
the longer,1
theyre being,1
they wouldn likely be,1
when we,1
they wouldn likely,1
they wouldn,1
they would have belgium,1
they would have,1
they would actually read,1
they would actually,1
they would,1
they wont tell me,1
they wont tell,1
they wont,1
they were going to,1
they were going,1
they were both still,1
theyre,1
theyre being pretty,1
they were,1
when was told you,1
thing,1
when they re,1
theyve been talking,1
theyve been,1
theyve,1
when they re broken,1
theyre worried about england,1
theyre worried about,1
theyre worried,1
theyre staying neutral until,1
theyre staying neutral,1
theyre staying,1
theyre being pretty taciturn,1
when was,1
when was told,1
they were both,1
they want an extra,1
thing for us,1
they re just not,1
they re doing,1
they re broken,1
they re,1
they ll be doing,1
they ll be,1
they ll,1
they know who they,1
they know who,1
they know what they,1
they know what,1
they know,1
they have an idea,1
they have an,1
they have,1
they had italy betrayal,1
they re just,1
they re moving,1
they want an,1
they re moving to,1
they want,1
they surrender to england,1
they surrender to,1
they surrender,1
they stand to gain,1
when we were,1
they stand,1
when we were no,1
when you,1
they re yet,1
they re unable to,1
they re unable,1
when you call,1
they re not coordinating,1
they re not,1
thing for,1
thing for us to,1
think ill get,1
think austria might have,1
think austria and italy,1
think austria and,1
think austria,1
think and let me,1
think and let,1
think and,1
think admin adviser has,1
think admin adviser,1
when austria takes,1
when austria takes rumania,1
think about moving,1
when done,1
think about it,1
think about,1
think,1
think austria might,1
think can,1
things we could,1
think can get,1
think ill,1
think if youre not,1
think if youre,1
think if,1
think he maybe just,1
think he maybe,1
think he,1
think france was moving,1
think france was,1
think france,1
think england will end,1
think england will,1
think england,1
think can get over,1
think can get online,1
things we could have,1
things we,1
thing forgot,1
when they become,1
things is going,1
things is,1
things are slowing down,1
things are slowing,1
things are,1
things,1
thing think neither of,1
thing think neither,1
thing think,1
thing said about general,1
thing said about,1
thing said,1
when they become more,1
thing forgot to go,1
thing forgot to,1
things is going to,1
things may,1
things ve pieced together,1
things may have,1
when the,1
when the mood,1
when the mood suits,1
things up big,1
things up and would,1
things up and,1
things up,1
things squared away with,1
things squared away,1
things squared,1
things out and russia,1
things out and,1
things out,1
when they,1
things may have some,1
this gets fleet into,1
this in,1
this in time,1
through with the,1
through sil pru from,1
through sil pru,1
what we have,1
through sil,1
through russia,1
through,1
throats,1
thrilled with it to,1
thrilled with it,1
thrilled with,1
thrilled at the prospect,1
thrilled at the,1
thrilled at,1
thrilled,1
three or more fronts,1
through with,1
through with the moves,1
three or,1
throw,1
til monday,1
til,1
tightly embroiled in france,1
what we,1
tightly embroiled,1
tightly,1
tick slow,1
tick,1
thus we can pressure,1
thus we can,1
thus we,1
thus,1
throw the solo to,1
throw the solo,1
throw the,1
three or more,1
three of us you,1
time ally,1
threatening,1
threat to,1
threat of france and,1
threat of france,1
threat of,1
threat just don take,1
threat just don,1
threat just,1
threat first pick up,1
what went wrong yeah,1
what were,1
what were being,1
what were being compensated,1
what would,1
threat first pick,1
threat first,1
threat to me,1
what went wrong,1
three of us working,1
what went,1
three of us,1
three of,1
three italian dots plus,1
three italian dots,1
what we have to,1
three italian,1
three burgundy belgium and,1
three burgundy belgium,1
three burgundy,1
what we need,1
three,1
threatening russia which wasn,1
threatening russia which,1
threatening russia,1
what we need is,1
time,1
time ally and,1
this is,1
to an alliance right,1
to an,1
to albania instead of,1
to albania instead,1
to albania,1
to agree to stay,1
to agree to an,1
to agree to,1
to agree,1
to aeg so that,1
to aeg so,1
to aeg,1
to act as though,1
to act as,1
to act,1
to accept this agreement,1
to an alliance,1
to and,1
to accept my support,1
to and frankly,1
to attack austria,1
to attack,1
to at least lie,1
to at least dmz,1
to at least,1
to at,1
to approach it from,1
to approach it,1
to approach,1
to anything yet,1
to anything,1
to anyone else until,1
to anyone else,1
to anyone,1
to and frankly im,1
to accept this,1
to accept my,1
time ally and you,1
time soon beyond,1
time it would instead,1
time it would,1
time it,1
time frame and austria,1
time frame and,1
time frame,1
time even if you,1
time even if,1
time even,1
time don seem too,1
time don seem,1
time don,1
time being was good,1
time being was,1
time being,1
time soon,1
what was am trying,1
to accept,1
what was am,1
to,1
tip the scales to,1
tip the scales,1
tip the,1
tip,1
time to think and,1
time to think,1
time to strategize etc,1
time to strategize,1
time to focus our,1
time to focus,1
time to do some,1
time to do,1
time to consider our,1
time to consider,1
threat,1
thoughts with him,1
thoughts with,1
what your general,1
this since,1
this season yet will,1
this season yet,1
this season to leave,1
this season to,1
this season but as,1
this season but,1
this season,1
this right,1
this resolved,1
this queens coordinating in,1
what your general train,1
what your plans,1
this point if id,1
this point if,1
this since it,1
what your,1
this point doubt they,1
this sort of,1
this turn good to,1
this turn good,1
this turn and italy,1
this turn and if,1
this turn and have,1
this turn and,1
this turn,1
this spring by each,1
this spring by,1
this spring,1
this split would give,1
this split would,1
this split,1
what you should do,1
this sort of path,1
what your plans are,1
this point doubt,1
thoughts regarding belgium,1
this little,1
this know there,1
this know,1
this it might have,1
this it might,1
this it,1
this is too big,1
this is too,1
this is my fault,1
this is my,1
this is lie but,1
this is lie,1
this is kind of,1
this is kind,1
this is especially important,1
this is especially,1
this know there more,1
this little building,1
this point,1
this little building and,1
this past turn you,1
this past turn,1
this past,1
this only works if,1
this only works,1
this only,1
this one eh,1
what your train,1
this one,1
this needs to be,1
this needs to,1
this needs,1
this maybe we don,1
this maybe we,1
this maybe,1
this turn ig,1
what you should,1
this turn im sorry,1
what you,1
thought it would be,1
thought it would,1
thought it,1
thought about fin stp,1
thought about fin,1
thought about,1
thought,1
though would understand why,1
though would understand,1
though would,1
though they were both,1
though they were,1
though they,1
though the move into,1
though the move,1
thought offer,1
thought offer you,1
this turn not,1
what would have done,1
thoughts regarding,1
thoughts,1
thought you said is,1
thought you said,1
thought you,1
thought what if you,1
thought what if,1
thought what,1
thought on what to,1
thought on what,1
thought on the draw,1
thought on the,1
what would have,1
thought on,1
thought offer you chance,1
though the,1
though so that can,1
though so that,1
though so,1
this will save,1
this will,1
this weekend hard for,1
this weekend hard,1
this weekend,1
this we illustrate our,1
this we illustrate,1
this we,1
this turn will work,1
this turn will,1
this turn which would,1
this turn which,1
this turn that austria,1
this turn that,1
this turn not as,1
this will save the,1
this winter,1
this year,1
though,1
though not sure yet,1
though not sure,1
though not,1
though let me know,1
though let me,1
though let,1
those terms,1
this year and,1
those,1
this year is more,1
this year is,1
this year can put,1
this year can,1
this year and we,1
they had italy,1
they had,1
they cant just get,1
which is why the,1
the same time,1
the same from both,1
the same from,1
the same as the,1
the same as,1
the same,1
which is why we,1
the russo turkish mess,1
the russo turkish,1
the russo,1
the russians up north,1
the russians up,1
the russians,1
the running the longer,1
which means,1
the same time don,1
the same time even,1
the ropes we,1
which is why,1
the short term its,1
the short term,1
the short,1
the sheer hypocrisy of,1
the sheer hypocrisy,1
the sheer,1
the second turn with,1
the second turn,1
the second,1
the scales to me,1
the scales to,1
the scales,1
the sandbox now but,1
the sandbox now,1
the sandbox,1
the ropes we can,1
the ropes,1
the solo,1
the right,1
the rest of,1
the rest for tomorrow,1
the rest for,1
the rest,1
the remains of russia,1
the remains of,1
the remains,1
the record told him,1
the record told,1
the record,1
the reason want the,1
the reason want,1
the reason is that,1
the reason is,1
which plan to attempt,1
the rest of their,1
which plan to,1
the risk averse move,1
which plan,1
the risk averse,1
the risk,1
which means at,1
the right time,1
which means at centers,1
the right one,1
the right move for,1
the right move,1
the right idea but,1
which means nasty,1
the right idea,1
the right foot let,1
which means nasty stalemate,1
the right considerations re,1
the right considerations,1
the situation,1
the solo to,1
the usefulness of,1
the turks is,1
the turks decide,1
the turks and just,1
the turks and,1
the turks,1
the tri unit or,1
the tri unit,1
the tri,1
the top,1
the time being was,1
the time being,1
the time,1
the three of us,1
the three of,1
the three burgundy belgium,1
the three burgundy,1
the turks decide to,1
which is,1
the threat of france,1
the two,1
the upside is just,1
the upside is,1
the upside,1
which doesn exactly,1
the units turkey needs,1
the units turkey,1
the units austria has,1
the units austria,1
which doesn exactly match,1
the uncertainty east of,1
the uncertainty east,1
the uncertainty,1
the two of you,1
the two of them,1
the two of,1
the three,1
the threat of,1
the solo to germany,1
the story,1
the stab without your,1
which is always,1
the stab without,1
the stab,1
the south im pretty,1
the south im,1
the south but won,1
the south but,1
the south alone for,1
the south alone,1
the south,1
the sort to pull,1
the sort to,1
which is always tough,1
the sort,1
the start,1
the story that,1
the threat,1
the story that we,1
the teaching side of,1
the teaching side,1
the teaching,1
the table but still,1
the table but,1
the table,1
the support need to,1
the support need,1
the support decided to,1
the support decided,1
the support,1
the success of stab,1
the success of,1
the success,1
the study,1
which wasn,1
the reason,1
which wasn the,1
the mountains,1
the most sense,1
the most likely explanation,1
the most likely,1
the most important one,1
the most important,1
the most communicative gent,1
the most communicative,1
whild convoying,1
the morning before make,1
the morning before,1
the morning,1
the more conventional build,1
the more conventional,1
the more,1
the mood suits and,1
the most sense to,1
the move,1
the mood of wrecking,1
the move back,1
whichever corresponds to,1
the north,1
the next days but,1
the next days,1
the next,1
the moves but seems,1
the moves but,1
the moves,1
the mover is,1
whichever corresponds to you,1
the mover,1
the move into trieste,1
whild,1
the move into,1
the move back to,1
the mood suits,1
the mood of,1
the prospect of an,1
the med than you,1
the med russia and,1
the med russia,1
the med hes in,1
the med hes,1
the med,1
while also,1
the mao as,1
the mao,1
the looks of last,1
the looks of,1
the looks,1
the longer you re,1
while also taking,1
the longer escape getting,1
the longer escape,1
the med than,1
the message,1
the mood for message,1
the message without,1
the mood for,1
the mood,1
whild convoying london,1
the moment didn guarantee,1
the moment didn,1
the moment but don,1
the moment but do,1
the moment but,1
the moment,1
the middle while go,1
the middle while,1
the middle,1
whild convoying london to,1
while,1
the message without focusing,1
the north and two,1
the north sea,1
the north sea to,1
the plan to work,1
the plan russia isn,1
the plan russia,1
the plan,1
the pieces moved it,1
the pieces moved,1
the pieces,1
the phase before just,1
the phase before,1
the phase,1
the perfect support for,1
the perfect support,1
the perfect,1
the peace of mind,1
the peace of,1
the peace,1
the plan to,1
which would make,1
the northern,1
the point is,1
the prospect of,1
the prospect,1
the pretense of convoying,1
the pretense of,1
the pretense,1
the premise that we,1
the premise that,1
the premise,1
the possibility but not,1
the possibility but,1
the possibility,1
the point where would,1
which wasn the plan,1
which would,1
the point is little,1
the party was fun,1
the party was,1
the party,1
the other nations,1
the only means of,1
which you work with,1
the only means,1
the only,1
whichever,1
the ones you,1
whichever corresponds,1
the ones,1
the one thing think,1
the one thing for,1
the one thing,1
the one directly between,1
the one directly,1
the one,1
the northern one,1
the only message,1
the only message hes,1
which you work,1
the original recruiting,1
the other hand that,1
the other hand,1
the other and try,1
the other and,1
the other,1
the original recruiting message,1
the original,1
the only people you,1
the opportunity to,1
the opportunity arises,1
which would make it,1
the opportunity,1
the only way see,1
which you,1
the usefulness,1
the usefulness of getting,1
they cant just,1
then that is good,1
where do,1
then that ally,1
then that,1
then tell me how,1
then tell me,1
then tell,1
then support me in,1
where do you,1
then support him back,1
then support him,1
then support,1
where do you see,1
then stop attacking,1
then stop,1
then remembered about coasts,1
then that is,1
then use,1
where that,1
then use ruh,1
then you can have,1
then you can easily,1
then you can,1
then you,1
then with sil,1
where,1
then with,1
where can,1
then what are his,1
then what are,1
where can potentially,1
then we can disband,1
where can potentially support,1
then we,1
then use ruh and,1
then remembered about,1
where that stuff,1
theoretically,1
then go for him,1
then go,1
then france was going,1
then france was,1
where their best,1
then dont say anything,1
then dont say,1
then can swap to,1
then can swap,1
then can,1
then build second southern,1
then build second,1
then build,1
then being sneaky and,1
where we,1
then being sneaky,1
then go for,1
then ill,1
then remembered,1
then ill vacate,1
where that stuff is,1
then push into austria,1
then push into,1
then push,1
then italy could potentially,1
then italy could,1
where their,1
then italy,1
then it better to,1
then it better,1
then it,1
then is the right,1
then is the,1
then is,1
then ill vacate it,1
then you can walk,1
theoretically support,1
the war,1
theres room for you,1
theres room,1
theres decent chance he,1
theres decent chance,1
theres decent,1
theres,1
there way forward it,1
there way forward,1
there way,1
there was anything could,1
there was anything,1
there was,1
there to cover bulgaria,1
there to cover,1
when you said,1
there support for you,1
theres room for,1
these,1
there support,1
these mistakes,1
they cant,1
they can trust and,1
they can trust,1
they become more powerful,1
they become more,1
they become,1
they be an issue,1
they be an,1
they be,1
they are still allied,1
they are still,1
they are busy this,1
when you call me,1
they are,1
they,1
there support for,1
there since going from,1
theoretically support you,1
there if,1
there chance italy,1
there chance,1
there but have ah,1
there but have,1
there but,1
there as well,1
there as,1
there are no such,1
there are no,1
there are,1
there an open home,1
there an open,1
there an,1
there,1
theoretically support you in,1
there chance italy would,1
there if you,1
there since going,1
there if you move,1
there since,1
there really nothing we,1
there really nothing,1
there really,1
there only so aggressive,1
there only so,1
there only,1
there more than what,1
there more than,1
there more,1
there is fair,1
there is an clearly,1
there is an,1
there is,1
when you said an,1
then being,1
then 50 50 split,1
then 50 50,1
their plan is,1
their northern front since,1
their northern front,1
their northern,1
their manipulation of this,1
their manipulation of,1
their manipulation,1
their help austria should,1
their help austria,1
their help,1
their guess because requested,1
their guess because,1
their guess,1
their friend rather than,1
their friend rather,1
their friend,1
their plan,1
their plan is to,1
their foe kill,1
their plan though,1
them at each,1
them at,1
them and haven said,1
them and haven,1
them and could help,1
them and could,1
them and,1
them,1
their will screw things,1
their will screw,1
whether germany,1
their will,1
their units,1
whether germany is,1
their positioning,1
their foe kill two,1
their foe,1
then 50,1
the west,1
the way to,1
the way the pieces,1
the way the,1
the way italy moves,1
the way italy,1
the way it did,1
the way it,1
the way,1
the warning,1
whether ive actually said,1
whew,1
the war in the,1
which,1
the war in,1
which doesn,1
the way to ion,1
the western,1
their fleet in constantinople,1
the western tripple,1
their fleet in,1
their fleet,1
their entire goal is,1
their entire goal,1
whether germany is keen,1
their defense,1
their best move is,1
their best move,1
their best,1
whether ive,1
their,1
the word might was,1
the word might,1
whether ive actually,1
the western tripple he,1
them at each other,1
them at the,1
them at the moment,1
them there,1
them then it,1
them then,1
them so ill probably,1
where we work,1
where we work together,1
them so ill,1
them so,1
them since that maybe,1
them since that,1
them since,1
them out there as,1
them out there,1
where would,1
where would be,1
where would be if,1
them then it better,1
them there since,1
them build,1
where we both are,1
then,1
where we both,1
them with you,1
them with,1
them to turn on,1
them to turn,1
them to the north,1
them to the,1
them to tell you,1
them to tell,1
them to join forces,1
them to join,1
them to get norway,1
them to get,1
them to,1
them off,1
them into thinking their,1
them into thinking,1
where would not,1
them forces them,1
them forces,1
them fight italy,1
them fight,1
them easily no matter,1
them easily no,1
them easily,1
them each,1
them down,1
whether,1
them but they re,1
them but they,1
them but,1
them build to use,1
them build to,1
them forces them to,1
where you stood in,1
them from catching,1
them if you needed,1
them ill get out,1
them ill get,1
where would not be,1
where you,1
them ill,1
them if you want,1
them if you,1
them from catching on,1
them if,1
them have been speaking,1
them have been,1
where you stood,1
them from getting too,1
them from getting,1
the army would,1
01,1
not able to,1
chose not to,1
chose,1
choose the right one,1
chicken,1
cheers my,1
cheers,1
checking in what up,1
checking in what,1
checking in,1
checking,1
checked in with anyone,1
checked in with,1
checked in,1
checked,1
check this before adjudication,1
check this before,1
check this,1
check messages in the,1
chose not,1
chose not to war,1
complicated but germany in,1
chose to,1
closed off to,1
closed off,1
clearly wasn planning,1
clearly wasn,1
clearly,1
clear that they know,1
clear that they,1
clear that austria,1
clear that,1
clear as could and,1
clear as could,1
clear as,1
clear,1
claims going on with,1
claims going,1
chose to increase distrust,1
chose to increase,1
check in assure you,1
check in assure,1
check in,1
check,1
chance you could,1
chance to negotiate,1
chance to have the,1
chance to have,1
chance to get builds,1
chance to get,1
chance to,1
chance of getting denmark,1
chance of getting,1
chance of,1
chance italy would give,1
chance italy,1
chance he goes to,1
chance he goes,1
chance he,1
chance,1
certainly interested in as,1
chance you could approach,1
change,1
change my,1
channel is,1
chat with others and,1
chat with others,1
chat about russian relations,1
chat about russian,1
chat about,1
channel is the only,1
channel is the,1
channel by supporting ruh,1
change my order,1
channel by supporting,1
channel by,1
channel and building the,1
channel and building,1
channel and,1
channel,1
change my order to,1
closed off to the,1
closing,1
coasts,1
commit you to anything,1
communicate with other players,1
communicate with other,1
communicate with,1
communicate,1
common interests the balkans,1
common interests the,1
common interests,1
common,1
committed to my attack,1
committed to my,1
committed to england but,1
committed to england,1
committed to,1
committed,1
commitment this spring by,1
commitment this spring,1
commitment this,1
communicated,1
communicated at all,1
communicated at all with,1
community it,1
complicated,1
compensated to communicate with,1
compensated to communicate,1
compensated to,1
compensated for,1
compensated,1
community it wouldn commit,1
community,1
communications,1
communicative gent this weekend,1
communicative gent this,1
communicative gent,1
communicative,1
communications secret if thats,1
communications secret if,1
communications secret,1
commitment,1
commit you to,1
coasts fin,1
commit you,1
combined with my,1
combined with,1
combined,1
combine attention on russia,1
combine attention on,1
combine attention,1
combine,1
collaborate ve got some,1
collaborate ve got,1
collaborate ve,1
collaborate,1
coherent and viewed the,1
coherent and viewed,1
coherent and,1
coherent,1
coasts fin can support,1
coasts fin can,1
combined with my attack,1
come,1
come up,1
commented,1
commit bla to supporting,1
commit bla to,1
commit bla,1
commit,1
commented to me that,1
commented to me,1
commented to,1
comforting,1
come up with,1
comfortable with it,1
comfortable with,1
comfortable taking money for,1
comfortable taking money,1
comfortable taking,1
comfortable,1
come up with an,1
certainly interested in,1
certainly interested,1
certainly hope so the,1
can swing,1
can walk,1
can understand,1
can trust someone being,1
can trust someone,1
can trust and that,1
can trust and,1
can trust,1
can think about moving,1
can think about,1
can think,1
can talk about it,1
can talk about,1
can talk,1
can take them easily,1
can take them,1
can take,1
can swing the stab,1
can walk into,1
can walk into sevastopol,1
can we,1
can work together,1
can you let,1
can you get them,1
can you get,1
can you commit bla,1
can you commit,1
can you,1
can work together once,1
can work long term,1
can we agree,1
can work long,1
can work from there,1
can work from,1
can work,1
can we have conversation,1
can we have,1
can we agree on,1
can swing the,1
can swap to lon,1
can you not,1
can swap to,1
can snag belgium,1
can snag,1
can sing diplomatic ballads,1
can sing diplomatic,1
can sing,1
can set yourself up,1
can set yourself,1
can set,1
can really stop you,1
can really stop,1
can really attack are,1
can really attack,1
can really,1
can put together good,1
can put together,1
can put them to,1
can put them,1
can snag belgium this,1
can still,1
can still be,1
can support,1
can swap,1
can support that to,1
can support that,1
can support myself,1
can support eachother with,1
can support an attack,1
can support an,1
can successfully bounce them,1
can still be friends,1
can successfully bounce,1
can successfully,1
can stop them from,1
can stop them,1
can stop,1
can still manipulate them,1
can still manipulate,1
can you let turkey,1
can you not support,1
certainly hope so,1
catch up with me,1
center and france still,1
center and france,1
center and,1
center,1
ceased communications,1
ceased,1
cautious expansion to tunis,1
cautious expansion to,1
cautious expansion,1
cautious,1
cause if we split,1
cause if we,1
cause if,1
cause,1
catching on too early,1
catching on too,1
catching on,1
center just,1
center just won,1
center just won be,1
certain of,1
certainly hope,1
certainly correct that germany,1
certainly correct that,1
certainly correct,1
certainly,1
certain of him at,1
certain of him,1
certain begrudging respect for,1
centers,1
certain begrudging respect,1
certain,1
centers but he will,1
centers but he,1
centers and won have,1
centers and won,1
centers and,1
catching,1
catch up with,1
can you rectify,1
catch,1
cant tell if france,1
cant tell if,1
cant tell,1
cant say anything nice,1
cant say anything,1
cant say,1
cant just get,1
cant just,1
cant hurt,1
cant do it this,1
cant do it,1
cant do,1
cant,1
candid way don,1
candid way,1
candid,1
can you rectify it,1
case,1
case am,1
case am just,1
case the austrians get,1
case you ve set,1
case you ve,1
case you decided to,1
case you decided,1
case you attacking triest,1
case you attacking,1
case you,1
case the austrians,1
case am just handing,1
case the,1
case should go to,1
case should go,1
case should,1
case he may just,1
case he may,1
case he,1
complicated but,1
con,1
can put couple,1
could potentially come up,1
could potentially,1
could look at getting,1
could look at,1
could look,1
could itself move to,1
could itself move,1
could itself,1
could hurt benefit either,1
could hurt benefit,1
could hurt,1
could help you out,1
could help you,1
could help,1
could have you take,1
could have you,1
could have very powerful,1
could have very,1
could potentially come,1
could potentially swipe,1
con aeg and,1
could potentially swipe both,1
could ve won,1
could ve,1
could theoretically support you,1
could theoretically support,1
could theoretically,1
could take bur which,1
could take bur,1
could take,1
could still work together,1
could still work,1
could still,1
could start thinking about,1
could start thinking,1
could start,1
could slow them down,1
could slow them,1
could slow,1
could have done that,1
could have done,1
could have,1
could get free of,1
could assure others we,1
could assure others,1
could assure,1
could approach turkey about,1
could approach turkey,1
could approach,1
could and hope you,1
could and hope,1
could and,1
could also bounce off,1
could also bounce,1
could also,1
could,1
corresponds to you,1
corresponds to,1
corresponds,1
correct that germany is,1
could be,1
could be insanly,1
could be insanly powerful,1
could do everything would,1
could get free,1
could get,1
could flip sides on,1
could flip sides,1
could flip,1
could do for them,1
could do for,1
could do everything,1
could be way,1
could do,1
could come up with,1
could come up,1
could come,1
could build another unit,1
could build another,1
could build,1
could ve won but,1
could you,1
could you please,1
cp and,1
cross for while but,1
cross for while,1
cross for,1
cross,1
critical for us to,1
critical for us,1
critical for,1
critical,1
cripple germany,1
cripple,1
crazy ivan off the,1
crazy ivan off,1
crazy ivan,1
crazy in the north,1
crazy in the,1
crazy in,1
crazy,1
crush,1
crush him,1
crush him once,1
curiosity talking with,1
current situation but,1
current situation,1
current orders bel den,1
current orders bel,1
current orders,1
current,1
curiosity talking with russia,1
curiosity talking,1
crush him once we,1
curiosity how is your,1
curiosity how is,1
curiosity how,1
curiosity,1
crush turkey within year,1
crush turkey within,1
crush turkey,1
cp and then push,1
cp,1
could you please support,1
cover london this turn,1
course,1
couple hours so you,1
couple hours so,1
couple hours,1
couple builds down,1
couple builds,1
couple,1
counter attack,1
counter,1
counted on england to,1
counted on england,1
counted on,1
counted,1
couldn get scooped by,1
couldn get scooped,1
couldn get,1
couldn,1
course holding,1
course holding marseilles,1
course holding marseilles isn,1
course part of,1
cover london this,1
cover london,1
cover bulgaria so it,1
cover bulgaria so,1
cover bulgaria,1
cover,1
course part of this,1
course part,1
course if,1
course mean eng,1
course mean,1
course is asking me,1
course is asking,1
course is,1
course if got stabbed,1
course if got,1
correct that germany,1
correct,1
coordinating well if that,1
consider our moves,1
considering moving to,1
considering moving,1
considering how the britain,1
considering how the,1
considering how,1
considering,1
considered letting germany move,1
considered letting germany,1
considered letting,1
considered,1
considerations re russia austria,1
considerations re russia,1
considerations re,1
considerations,1
consider turkey shenanigans around,1
consider turkey shenanigans,1
consider turkey,1
considering moving to the,1
consistently,1
consistently make,1
contact,1
continue to act as,1
continue to act,1
continue to,1
continue,1
contact with france or,1
contact with france,1
contact with,1
constantinople to the aegean,1
consistently make whatever,1
constantinople to the,1
constantinople to,1
constantinople ankara vienna and,1
constantinople ankara vienna,1
constantinople ankara,1
constantinople,1
consistently make whatever move,1
consider our moves over,1
consider our,1
continue your attack,1
consider is if get,1
concerned for the future,1
concerned for the,1
concerned for,1
concerned about you moving,1
concerned about you,1
concerned about trieste apparently,1
concerned about trieste,1
concerned about,1
concerned,1
concern for you is,1
concern for you,1
concern for,1
concern,1
con that would be,1
con that would,1
con that,1
con aeg and bul,1
concerned with,1
concerned with losing,1
concerned with losing norway,1
congrats on smooshing russia,1
consider is if,1
consider is,1
consider,1
conservative with me so,1
conservative with me,1
conservative with,1
conservative,1
congrats on smooshing,1
confirmed,1
congrats on,1
congrats,1
conflict to the other,1
conflict to the,1
conflict to,1
confirmed it juggernaut,1
confirmed it,1
continue your,1
continue your attack on,1
coordinating well if,1
convo,1
cool,1
convoying london to denmark,1
convoying london to,1
convoying london,1
convoying it somewhere then,1
convoying it somewhere,1
convoying it,1
convoying,1
convoy of 1910,1
convoy of,1
convoy even without the,1
convoy even without,1
convoy even,1
convoy and dislodging you,1
convoy and dislodging,1
convoy and,1
convoy,1
cool for,1
cool for fall,1
cool for fall and,1
coordinating in perfect,1
coordinating well,1
coordinating to control the,1
coordinating to control,1
coordinating to,1
coordinating the east with,1
coordinating the east,1
coordinating in perfect harmony,1
coordinating in,1
cool with,1
coordinating,1
coordinate with turkey against,1
coordinate with turkey,1
coordinate with,1
coordinate,1
cool with me temporarily,1
cool with me,1
convo haha,1
convincing russia to help,1
contract,1
convincing russia to,1
conversation mean,1
conversation at some point,1
conversation at some,1
conversation at,1
conversation,1
conventional build of rome,1
conventional build of,1
conventional build,1
conventional,1
control the growth of,1
control the growth,1
control the,1
control guess,1
control,1
contract law trickery no,1
contract law trickery,1
contract law,1
conversation mean thats,1
conversation mean thats what,1
convince,1
convincing,1
convincing russia,1
convincing germany to lay,1
convincing germany to,1
convincing germany,1
convincing enough that he,1
convincing enough that,1
convincing enough,1
convinced germany that was,1
convince russia,1
convinced germany that,1
convinced germany,1
convinced,1
convince turkey to move,1
convince turkey to,1
convince turkey,1
convince russia to,1
can put couple builds,1
can put,1
not able,1
bur which plan,1
bur to support kie,1
bur to support,1
bur thats all though,1
bur thats all,1
bur thats,1
