,feature_politeness_==Please==,feature_politeness_==Please_start==,feature_politeness_==HASHEDGE==,feature_politeness_==Indirect_(btw)==,feature_politeness_==Hedges==,feature_politeness_==Factuality==,feature_politeness_==Deference==,feature_politeness_==Gratitude==,feature_politeness_==Apologizing==,feature_politeness_==1st_person_pl.==,feature_politeness_==1st_person==,feature_politeness_==1st_person_start==,feature_politeness_==2nd_person==,feature_politeness_==2nd_person_start==,feature_politeness_==Indirect_(greeting)==,feature_politeness_==Direct_question==,feature_politeness_==Direct_start==,feature_politeness_==HASPOSITIVE==,feature_politeness_==HASNEGATIVE==,feature_politeness_==SUBJUNCTIVE==,feature_politeness_==INDICATIVE==,msg_id
Game2-england-germany-307,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Game2-england-germany-307
Game2-england-germany-317,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Game2-england-germany-317
Game2-england-germany-319,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,Game2-england-germany-319
Game2-england-germany-325,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Game2-england-germany-325
Game2-england-germany-346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Game2-england-germany-346
Game2-england-germany-352,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game2-england-germany-352
Game2-england-germany-353,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Game2-england-germany-353
Game2-england-germany-361,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Game2-england-germany-361
Game2-england-germany-362,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,Game2-england-germany-362
Game2-england-germany-366,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game2-england-germany-366
Game2-england-germany-373,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Game2-england-germany-373
Game2-england-germany-376,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game2-england-germany-376
Game2-england-germany-388,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,Game2-england-germany-388
Game2-england-germany-452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Game2-england-germany-452
Game2-england-germany-458,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Game2-england-germany-458
Game2-england-germany-460,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,Game2-england-germany-460
Game2-england-germany-463,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Game2-england-germany-463
Game2-england-germany-465,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game2-england-germany-465
Game2-england-germany-473,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game2-england-germany-473
Game2-england-germany-490,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Game2-england-germany-490
Game2-england-germany-492,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Game2-england-germany-492
Game2-england-germany-494,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Game2-england-germany-494
Game2-england-germany-500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Game2-england-germany-500
Game2-turkey-germany-2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,Game2-turkey-germany-2
Game2-turkey-germany-8,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,Game2-turkey-germany-8
Game2-turkey-germany-19,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game2-turkey-germany-19
Game2-turkey-germany-22,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Game2-turkey-germany-22
Game2-turkey-germany-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game2-turkey-germany-43
Game2-turkey-germany-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Game2-turkey-germany-46
Game2-turkey-germany-67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Game2-turkey-germany-67
Game2-turkey-germany-83,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,Game2-turkey-germany-83
Game2-turkey-germany-85,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,Game2-turkey-germany-85
Game2-turkey-germany-97,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,Game2-turkey-germany-97
Game2-turkey-germany-105,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Game2-turkey-germany-105
Game2-turkey-germany-114,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Game2-turkey-germany-114
Game2-turkey-germany-119,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,Game2-turkey-germany-119
Game2-turkey-germany-123,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Game2-turkey-germany-123
Game2-turkey-germany-132,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,Game2-turkey-germany-132
Game2-turkey-germany-133,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Game2-turkey-germany-133
Game2-turkey-germany-134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,Game2-turkey-germany-134
Game2-turkey-germany-137,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Game2-turkey-germany-137
Game2-turkey-germany-141,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,Game2-turkey-germany-141
Game2-turkey-germany-142,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game2-turkey-germany-142
Game2-turkey-germany-149,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Game2-turkey-germany-149
Game2-turkey-germany-163,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Game2-turkey-germany-163
Game2-turkey-germany-169,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,Game2-turkey-germany-169
Game2-turkey-germany-171,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Game2-turkey-germany-171
Game2-turkey-germany-172,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game2-turkey-germany-172
Game2-turkey-germany-183,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,Game2-turkey-germany-183
Game2-turkey-germany-185,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,Game2-turkey-germany-185
Game2-turkey-germany-190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,Game2-turkey-germany-190
Game2-turkey-germany-194,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,Game2-turkey-germany-194
Game2-turkey-germany-196,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game2-turkey-germany-196
Game2-turkey-germany-197,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,Game2-turkey-germany-197
Game2-turkey-germany-214,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Game2-turkey-germany-214
Game2-turkey-germany-218,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,Game2-turkey-germany-218
Game2-turkey-germany-229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Game2-turkey-germany-229
Game2-turkey-germany-232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game2-turkey-germany-232
Game2-turkey-germany-233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Game2-turkey-germany-233
Game2-turkey-germany-253,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,Game2-turkey-germany-253
Game2-turkey-germany-262,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game2-turkey-germany-262
Game2-turkey-germany-280,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game2-turkey-germany-280
Game2-germany-france-1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,Game2-germany-france-1
Game2-germany-france-2,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game2-germany-france-2
Game2-germany-france-12,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,Game2-germany-france-12
Game2-germany-france-25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Game2-germany-france-25
Game2-austria-russia-21,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,Game2-austria-russia-21
Game2-austria-russia-35,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,Game2-austria-russia-35
Game2-austria-russia-40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game2-austria-russia-40
Game2-austria-russia-46,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Game2-austria-russia-46
Game2-austria-russia-54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Game2-austria-russia-54
Game2-austria-russia-60,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Game2-austria-russia-60
Game2-austria-russia-61,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Game2-austria-russia-61
Game2-england-austria-1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,Game2-england-austria-1
Game2-england-austria-3,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,Game2-england-austria-3
Game2-england-austria-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Game2-england-austria-13
Game2-england-austria-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game2-england-austria-33
Game2-england-austria-37,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,Game2-england-austria-37
Game2-england-austria-38,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Game2-england-austria-38
Game2-england-austria-42,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game2-england-austria-42
Game2-england-austria-45,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game2-england-austria-45
Game2-england-austria-52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Game2-england-austria-52
Game2-england-austria-54,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,Game2-england-austria-54
Game2-england-austria-55,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game2-england-austria-55
Game2-england-austria-56,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game2-england-austria-56
Game2-england-austria-60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Game2-england-austria-60
Game2-england-austria-75,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,Game2-england-austria-75
Game2-england-austria-76,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Game2-england-austria-76
Game2-england-austria-79,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,Game2-england-austria-79
Game2-england-austria-87,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Game2-england-austria-87
Game2-england-austria-119,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Game2-england-austria-119
Game2-england-austria-127,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,Game2-england-austria-127
Game2-turkey-austria-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,Game2-turkey-austria-0
Game2-turkey-austria-2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Game2-turkey-austria-2
Game2-turkey-austria-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Game2-turkey-austria-6
Game2-turkey-austria-16,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Game2-turkey-austria-16
Game2-turkey-austria-24,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,Game2-turkey-austria-24
Game2-turkey-austria-40,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,Game2-turkey-austria-40
Game2-turkey-austria-42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Game2-turkey-austria-42
Game2-turkey-austria-49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Game2-turkey-austria-49
Game2-turkey-austria-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Game2-turkey-austria-50
Game2-turkey-austria-53,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Game2-turkey-austria-53
Game2-turkey-austria-68,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Game2-turkey-austria-68
Game2-turkey-austria-70,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game2-turkey-austria-70
Game2-turkey-austria-71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Game2-turkey-austria-71
Game2-turkey-austria-78,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Game2-turkey-austria-78
Game2-turkey-austria-86,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,Game2-turkey-austria-86
Game2-turkey-austria-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Game2-turkey-austria-91
Game2-turkey-austria-92,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Game2-turkey-austria-92
Game2-turkey-austria-94,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,Game2-turkey-austria-94
Game2-turkey-austria-104,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Game2-turkey-austria-104
Game2-turkey-austria-105,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Game2-turkey-austria-105
Game2-turkey-austria-106,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Game2-turkey-austria-106
Game2-turkey-austria-107,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,Game2-turkey-austria-107
Game2-austria-france-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Game2-austria-france-15
Game2-austria-france-20,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Game2-austria-france-20
Game2-england-russia-6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,Game2-england-russia-6
Game2-turkey-russia-11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Game2-turkey-russia-11
Game2-turkey-russia-18,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,Game2-turkey-russia-18
Game2-turkey-russia-19,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game2-turkey-russia-19
Game2-turkey-russia-24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game2-turkey-russia-24
Game2-france-russia-3,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,Game2-france-russia-3
Game2-turkey-england-0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,Game2-turkey-england-0
Game2-turkey-england-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game2-turkey-england-6
Game2-turkey-england-10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Game2-turkey-england-10
Game2-turkey-england-19,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,Game2-turkey-england-19
Game2-turkey-england-29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Game2-turkey-england-29
Game2-turkey-england-39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Game2-turkey-england-39
Game2-turkey-england-51,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Game2-turkey-england-51
Game2-turkey-england-55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game2-turkey-england-55
Game2-turkey-england-59,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,Game2-turkey-england-59
Game2-turkey-france-2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Game2-turkey-france-2
Game3-italy-germany-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Game3-italy-germany-0
Game3-italy-germany-7,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,Game3-italy-germany-7
Game3-italy-germany-9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Game3-italy-germany-9
Game3-italy-germany-14,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game3-italy-germany-14
Game3-italy-germany-15,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game3-italy-germany-15
Game3-italy-germany-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Game3-italy-germany-17
Game3-italy-germany-19,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,Game3-italy-germany-19
Game3-italy-germany-20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Game3-italy-germany-20
Game3-italy-germany-24,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,Game3-italy-germany-24
Game3-italy-germany-27,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,Game3-italy-germany-27
Game3-italy-germany-29,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,Game3-italy-germany-29
Game3-italy-germany-30,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,Game3-italy-germany-30
Game3-italy-germany-33,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,Game3-italy-germany-33
Game3-italy-germany-37,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game3-italy-germany-37
Game3-italy-germany-40,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,Game3-italy-germany-40
Game3-italy-germany-46,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,Game3-italy-germany-46
Game3-italy-germany-50,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,Game3-italy-germany-50
Game3-italy-germany-52,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game3-italy-germany-52
Game3-italy-germany-54,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,Game3-italy-germany-54
Game3-italy-germany-55,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,Game3-italy-germany-55
Game3-italy-germany-56,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,Game3-italy-germany-56
Game3-italy-germany-61,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Game3-italy-germany-61
Game3-italy-germany-63,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Game3-italy-germany-63
Game3-italy-germany-65,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Game3-italy-germany-65
Game3-italy-germany-67,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,Game3-italy-germany-67
Game3-italy-germany-80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Game3-italy-germany-80
Game3-italy-germany-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game3-italy-germany-93
Game3-italy-germany-95,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Game3-italy-germany-95
Game3-italy-germany-96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game3-italy-germany-96
Game3-italy-germany-99,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game3-italy-germany-99
Game3-italy-germany-100,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,Game3-italy-germany-100
Game3-italy-germany-103,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,Game3-italy-germany-103
Game3-italy-germany-116,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,Game3-italy-germany-116
Game3-italy-germany-119,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,Game3-italy-germany-119
Game3-italy-germany-128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Game3-italy-germany-128
Game3-italy-germany-131,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,Game3-italy-germany-131
Game3-italy-germany-133,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,Game3-italy-germany-133
Game3-italy-germany-136,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,Game3-italy-germany-136
Game3-italy-germany-143,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,Game3-italy-germany-143
Game3-italy-germany-147,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Game3-italy-germany-147
Game3-italy-germany-151,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,Game3-italy-germany-151
Game3-italy-germany-154,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,Game3-italy-germany-154
Game3-italy-germany-158,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Game3-italy-germany-158
Game3-italy-germany-160,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Game3-italy-germany-160
Game3-austria-italy-4,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Game3-austria-italy-4
Game3-austria-italy-14,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Game3-austria-italy-14
Game3-austria-italy-16,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,Game3-austria-italy-16
Game3-austria-italy-28,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Game3-austria-italy-28
Game3-austria-italy-30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,Game3-austria-italy-30
Game3-austria-italy-34,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Game3-austria-italy-34
Game3-austria-italy-39,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,Game3-austria-italy-39
Game3-austria-italy-43,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,Game3-austria-italy-43
Game3-austria-italy-44,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,Game3-austria-italy-44
Game3-austria-italy-46,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,Game3-austria-italy-46
Game3-austria-italy-51,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Game3-austria-italy-51
Game3-austria-italy-53,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,Game3-austria-italy-53
Game3-austria-italy-55,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Game3-austria-italy-55
Game3-austria-italy-56,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game3-austria-italy-56
Game3-austria-italy-58,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game3-austria-italy-58
Game3-austria-italy-60,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game3-austria-italy-60
Game3-austria-italy-61,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,Game3-austria-italy-61
Game3-austria-italy-63,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,Game3-austria-italy-63
Game3-austria-italy-65,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,Game3-austria-italy-65
Game3-austria-italy-66,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,Game3-austria-italy-66
Game3-austria-italy-67,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Game3-austria-italy-67
Game3-austria-italy-69,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,Game3-austria-italy-69
Game3-austria-italy-75,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Game3-austria-italy-75
Game3-austria-italy-76,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,Game3-austria-italy-76
Game3-austria-italy-77,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,Game3-austria-italy-77
Game3-austria-italy-80,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,Game3-austria-italy-80
Game3-austria-italy-81,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Game3-austria-italy-81
Game3-austria-italy-87,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,Game3-austria-italy-87
Game3-austria-italy-91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game3-austria-italy-91
Game3-austria-italy-92,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,Game3-austria-italy-92
